latitude,longitude,value
37.3408,124.6411,1
34.2532,125.3613,1
34.4474,124.5015,1
37.7396,125.3885,3
34.0718,123.5069,1
33.9308,124.5711,1
37.234,123.2963,5
33.9782,124.1924,1
35.0305,125.1764,5
35.9703,125.2701,1
35.1509,124.0249,5
34.6249,123.3098,4
36.1285,123.3757,1
34.6594,126.0605,2
36.0457,124.011,1
36.5211,124.8276,1
34.765,123.1903,2
36.3504,123.4677,3
36.4481,124.279,1
37.1664,126.0738,1
36.5389,125.1374,1
37.215,123.2603,1
35.2804,125.172,1
35.1771,124.1361,1
34.1506,123.8667,1
36.2262,124.6968,1
36.1644,124.2973,1
34.4887,124.5711,1
34.508,125.3028,3
34.4325,123.4297,2
36.5104,124.9335,1
36.3181,125.0177,3
36.8098,124.9176,1
34.1271,125.3813,2
35.2036,123.2595,3
39.9413,130.9965,2
37.7425,130.3953,1
39.9485,131.891,1
37.9965,130.7062,1
37.8655,129.8179,1
39.3159,130.3293,3
37.4132,129.6873,4
39.2024,131.9377,3
39.4275,131.5704,1
39.1251,131.3914,1
38.8786,130.0256,1
39.3115,129.7141,1
38.3508,131.1932,1
37.8383,131.9392,1
39.3443,130.7405,2
39.4955,131.3237,1
37.6027,131.1714,4
37.7213,131.62,1
37.4515,131.8617,1
39.5785,130.6293,2
37.6394,131.5986,2
38.054,131.3604,2
39.3513,130.1281,1
37.5942,129.2083,1
38.8216,131.9382,2
39.4212,130.1444,1
38.931,131.2471,1
39.7046,129.7188,4
38.6956,131.6625,3
38.7874,131.497,1
38.7486,129.9591,1
39.7352,130.0777,2
39.7897,130.7362,1
38.4596,129.4525,2
38.5333,131.6793,2
38.4421,129.5756,1
37.8595,131.3151,1
39.7975,130.0436,2
37.9857,130.3838,4
38.4264,130.7134,1
39.7233,130.1891,1
39.6936,129.3086,1
38.9315,130.0853,1
37.6029,129.7035,1
38.0244,130.8757,1
37.6368,129.3356,4
39.0938,131.6883,2
38.8525,131.0955,3
37.4097,131.8974,1
39.0009,130.8037,3
38.7126,130.3022,2
39.6787,130.7354,1
38.7946,131.9178,5
37.7196,131.6802,1
38.5839,129.6868,1
38.1235,131.8982,1
38.0559,130.4921,1
37.9364,129.8619,1
37.3247,129.3693,2
39.9291,131.5308,4
39.2973,130.6405,2
39.3376,130.8419,5
37.8351,130.7898,1
38.9521,131.7079,2
39.6269,130.1335,1
39.8383,130.4431,1
38.0951,129.9955,1
39.1444,130.9114,2
38.4592,130.8347,1
39.634,130.1759,2
39.5767,129.8202,1
39.5305,129.3657,4
39.5299,130.0081,4
38.2696,131.3904,2
39.2739,129.3376,3
39.549,131.8704,1
38.6574,129.689,1
39.7999,130.342,2
39.4078,129.5398,1
39.234,131.9595,1
38.2711,131.139,1
39.4793,129.9701,1
39.9481,131.9112,1
38.4139,131.6616,4
38.8677,131.5181,1
39.3856,129.5611,2
38.3008,129.6487,1
38.4475,130.2373,1
39.9702,129.9798,2
38.234,130.195,1
38.5931,130.5157,1
38.9065,129.2763,1
37.6943,131.8959,1
37.9488,129.2665,1
38.9644,129.9575,1
38.1727,130.366,1
37.6059,129.2173,2
39.4826,131.2191,2
39.4115,131.3573,1
39.0363,130.2463,1
33.7313,126.4338,1
28.049,128.0688,1
30.5271,128.4899,5
32.3543,129.8985,3
32.5751,126.1329,2
32.4988,127.2221,1
29.7759,127.0511,1
29.816,128.832,1
30.5387,129.7489,1
33.1738,128.4587,5
31.5604,126.6093,4
28.805,127.3689,1
29.1116,129.7898,1
29.4705,127.2414,1
31.1321,127.9578,1
31.121,126.6661,3
33.2449,126.1579,2
30.0936,128.1098,2
28.7507,129.9217,2
29.4248,126.8614,1
32.9498,126.2984,1
33.1144,129.346,1
30.8207,129.9533,1
32.5613,126.9703,2
32.3431,128.6298,1
29.7037,129.3344,2
32.0515,129.6029,1
29.2992,126.1768,3
31.8479,129.5802,1
32.3206,126.8926,3
29.8306,129.9775,1
28.3462,128.7809,2
28.0861,126.4273,1
30.3286,129.4574,1
29.8847,127.8372,1
30.3856,126.4454,1
33.1235,129.2287,1
31.1241,126.0251,1
31.7895,128.0615,1
28.7006,127.0795,1
30.6572,126.0652,1
28.7712,126.146,1
29.4238,128.5595,4
31.459,128.6784,1
30.7698,126.1109,1
30.5917,127.4927,3
28.8704,128.4961,1
28.1923,128.8701,1
31.2098,127.0533,4
31.6602,127.7035,1
30.0376,128.9498,1
28.3564,127.5158,5
31.049,126.4106,1
29.008,129.094,2
31.2025,129.6809,1
28.3936,128.1273,2
31.7069,129.0196,1
30.9029,128.5331,1
29.6344,128.0461,1
28.9819,126.001,1
31.2154,128.1594,2
32.1988,129.7403,2
31.432,129.8403,1
28.7212,129.8302,1
29.632,129.8788,1
30.9696,129.4631,1
31.9076,129.4154,2
33.8817,129.6535,1
33.8968,127.0332,1
32.3158,126.6208,1
32.98,127.3938,2
30.6677,127.0765,1
33.1657,127.3812,1
31.0816,129.1654,1
28.521,129.1355,1
30.7145,126.8134,2
32.5033,126.665,1
30.6703,126.561,1
30.2701,128.4573,3
32.3746,127.8043,5
31.0662,126.9858,1
30.3058,128.2114,1
33.4528,128.2545,2
33.5232,128.199,2
33.985,129.868,1
30.3513,126.9354,1
33.7264,126.8454,1
28.9329,127.1376,1
28.7001,126.6778,3
28.1569,128.6164,1
31.211,126.6981,3
33.3158,129.935,1
30.2961,127.7314,1
31.6587,129.8543,2
31.9427,128.8563,1
30.6189,127.5072,1
33.1976,128.0869,4
31.1469,127.5911,1
32.8085,128.7879,1
32.8791,127.3107,1
37.2424,130.3183,2
41.4628,131.8733,1
38.5072,133.8723,1
40.4846,133.0968,1
38.6841,131.5205,2
38.7716,134.0539,1
37.145,132.7181,1
41.3949,132.3087,1
39.1436,131.7876,1
37.7799,132.2059,1
36.2566,135.213,1
38.9836,133.8075,1
38.0821,133.5169,1
36.0435,131.8032,1
41.231,134.156,1
39.7609,132.658,1
41.7243,130.7024,1
39.3275,130.8857,1
40.0721,134.0208,1
40.5646,132.8339,1
41.0596,131.1931,1
39.8083,134.2791,2
36.3692,132.5661,1
38.0335,130.8244,1
37.9816,132.871,1
36.0904,131.0849,1
38.1024,134.5582,1
40.4261,133.6099,3
41.2928,130.3654,3
37.9309,131.8124,1
38.5787,130.0911,1
40.1243,133.8827,1
40.7342,131.6329,1
36.9915,132.2084,1
37.9069,134.6451,1
36.2603,130.8035,1
41.246,131.958,1
38.1388,133.1682,1
37.1848,131.9278,1
39.4735,131.9689,1
37.5851,131.2595,1
36.817,131.8289,1
41.8294,131.6637,1
37.573,130.6934,2
41.213,132.2244,2
40.0449,130.1082,2
36.2894,133.2884,1
41.4479,130.973,3
36.989,133.9278,1
40.6988,134.1335,1
36.2933,135.0119,1
39.2014,132.5401,1
36.7723,131.4315,4
38.15,134.6507,1
40.4725,131.1555,1
37.8085,134.9443,4
39.4487,131.5757,1
40.5151,131.2307,3
40.4326,134.2661,1
38.618,133.4092,1
38.1173,134.5251,1
40.7013,132.2973,1
40.9598,132.0218,1
38.7492,130.9522,1
36.2758,134.1257,1
39.1732,134.7658,1
37.4032,134.3846,1
36.3146,132.0414,1
37.0967,130.0138,1
40.7681,135.243,1
41.165,135.2872,1
38.2589,134.4299,1
36.4263,134.6376,1
37.6085,133.9137,1
40.7172,134.1882,1
38.1678,135.1378,1
36.0457,135.2557,4
37.9575,134.5081,3
41.0625,130.7956,1
39.8867,130.8911,1
40.2233,132.8302,1
40.5648,134.2491,3
38.4388,132.1324,1
37.441,134.8481,1
41.7746,132.6126,2
39.1209,135.2836,1
37.6695,134.1775,1
37.1659,134.6569,3
41.1028,131.3319,1
40.7558,131.3101,1
40.7541,133.3266,1
40.5698,133.7804,2
40.2146,130.4261,1
41.6589,133.1213,1
37.6716,135.4077,1
40.6407,131.7066,1
41.0618,130.7289,1
36.1846,133.8511,1
36.675,133.4688,4
40.6742,134.3226,1
35.3194,130.1134,1
34.2345,130.321,1
36.2447,130.8089,1
34.9705,131.2917,2
33.7373,130.4609,2
34.6011,130.8903,1
35.9458,130.2871,4
36.507,130.1024,2
34.9291,130.4394,3
36.2231,130.7589,1
34.6679,131.2022,3
36.0043,130.8346,1
34.6496,130.917,1
34.1454,130.2252,1
33.6271,130.8752,1
33.6113,131.3387,1
34.4601,131.2728,1
36.0922,131.2172,1
35.7354,130.3716,1
35.3853,130.2542,1
35.7136,130.4056,5
33.9713,130.5847,3
36.6586,130.9658,1
34.1603,130.7908,3
35.8035,130.3777,1
33.9154,130.8317,3
35.8371,130.4848,1
33.9709,131.1338,1
35.3555,130.4246,2
36.6877,130.6203,3
35.2633,131.0694,1
36.1075,130.4893,3
35.9176,130.4741,1
35.7681,130.657,5
36.3325,131.0255,4
34.788,130.0958,2
33.6,130.7357,4
36.387,130.3331,1
34.2859,130.8675,1
36.0381,130.2108,2
35.3334,131.157,1
34.3157,131.007,1
33.8839,130.8746,1
35.8599,131.2362,1
36.6205,131.0522,4
35.9184,130.3125,1
34.0646,130.6129,1
35.4635,130.6737,1
35.5575,130.6762,1
35.2598,130.5359,4
34.4399,130.0931,2
34.4068,130.9021,2
35.8693,130.3426,2
34.0792,130.841,2
35.3014,130.8916,1
36.0975,130.5181,4
34.8367,131.0177,3
34.1645,130.7109,3
36.3513,130.0417,4
33.6238,130.5115,3
34.8325,130.8064,1
36.6605,130.3438,2
35.8828,130.2231,2
35.2216,130.2171,1
34.1304,130.6066,2
35.1075,130.0411,1
34.6717,131.01,2
36.0207,130.0149,1
36.7296,130.1863,1
34.8336,131.203,1
36.2091,130.3046,4
33.677,130.5585,1
35.8184,131.1611,1
33.7597,130.6922,1
35.615,131.0081,1
34.0932,131.1824,1
34.7421,130.3886,1
35.7995,130.7829,4
34.3635,131.2081,3
34.445,130.606,1
33.8856,130.9938,1
36.4344,131.0052,1
35.554,131.1851,1
36.5265,131.3297,4
36.2967,130.1491,1
34.3366,130.6275,2
36.4403,130.304,1
34.3951,130.5996,1
33.8919,130.0495,1
35.6323,130.7985,1
36.0871,130.6269,1
36.7035,130.2014,1
34.6272,131.1683,2
36.0984,130.4722,1
34.3032,130.4688,1
36.6913,131.1547,4
35.5084,130.5012,1
36.6684,130.147,1
34.7186,130.8198,5
36.1035,131.0996,2
33.695,129.7399,1
34.3391,129.4017,1
33.9063,127.9452,1
34.508,128.8713,5
34.1848,128.4092,1
34.6309,129.5921,1
34.5632,129.1781,1
33.782,129.2154,3
34.614,128.6136,4
33.8063,128.6555,1
34.2156,128.5579,1
34.593,128.8073,2
34.2117,128.8696,1
34.5611,127.7927,2
34.0518,129.5989,2
34.2537,129.3231,1
34.4102,128.1586,4
34.5523,130.0097,1
34.6828,128.4722,5
33.7191,128.8552,5
34.6187,129.9002,1
34.5735,129.9366,1
34.8323,129.9587,1
34.757,128.2732,1
34.0621,128.1605,3
34.7847,127.8772,1
34.1474,128.7964,1
34.8324,129.9893,1
33.6208,128.903,1
33.9698,129.3681,2
34.5214,129.6731,1
34.2658,128.6441,1
34.031,129.2831,1
34.236,128.2091,1
34.4342,128.2137,1
33.7379,129.5006,1
34.1034,128.2248,2
34.4182,127.9112,3
34.4753,128.7522,1
34.0885,127.932,2
33.6112,127.7824,1
34.2424,128.7136,1
33.8814,129.9224,1
34.8132,128.1809,2
33.8102,128.1525,3
34.3404,128.8866,1
34.3413,128.5222,2
33.9567,128.1033,4
34.5212,130.1847,1
34.772,128.8007,2
33.8042,130.1262,1
34.6032,127.9563,2
34.248,127.9089,2
34.478,129.154,1
34.7671,129.563,1
33.6514,128.8458,3
33.8724,129.9792,1
33.9426,128.7751,1
34.6208,129.0503,2
33.6969,128.1342,1
33.7577,130.1694,1
33.9222,129.6209,1
34.1783,129.6188,1
33.6492,128.9788,1
34.246,129.21,3
34.3451,129.7794,5
34.1641,129.7501,1
33.6952,128.7226,1
34.1299,129.2456,2
34.2329,128.3874,1
34.3801,128.3909,1
34.0073,129.7627,1
34.7155,130.2024,1
33.7079,129.7358,5
34.6906,129.1081,2
34.7643,130.2162,3
33.7608,128.1759,3
34.0254,129.6648,4
34.3263,129.4585,2
34.1256,129.6303,3
34.7711,129.3205,2
34.182,128.8763,1
33.8901,127.9431,1
34.281,129.1149,1
33.7374,129.7039,1
34.2232,128.2821,3
33.6272,128.867,3
34.48,128.0635,3
34.8084,129.4828,1
33.6049,129.5679,3
34.081,129.7622,1
33.8016,128.9926,1
33.8421,127.8408,1
34.4607,129.0934,1
34.8172,130.23,1
33.9929,129.7118,3
33.9653,129.676,2
34.736,127.9183,2
34.6709,129.3426,1
34.001,128.078,2
31.9691,123.6363,5
36.4733,121.6129,2
31.8041,122.6831,3
33.1053,123.5454,4
34.4552,122.6338,3
32.6753,123.3211,5
35.7284,123.1631,1
36.5422,122.2653,5
33.3942,123.006,5
33.3954,123.5517,5
35.3488,122.8012,2
35.0333,122.5678,2
35.1011,123.5498,5
35.6219,122.3225,1
36.4795,121.3275,5
36.5842,122.7984,3
34.9064,121.7555,3
36.9237,123.7849,2
34.3628,123.4073,5
31.3951,121.7591,3
34.5563,121.8642,4
36.4213,123.5281,2
34.8337,123.6388,2
35.1301,123.4385,1
31.8592,122.3598,3
36.6966,123.4355,2
32.1766,121.8503,2
31.2474,121.9513,3
31.1847,123.4745,4
31.818,122.8195,3
32.9232,122.911,4
32.1927,123.7614,4
36.3224,123.2188,4
35.9523,121.7879,1
31.8312,121.4715,4
32.368,121.3113,4
36.1204,122.5765,3
36.3785,121.8866,3
33.9746,121.4169,3
31.2889,121.4762,3
34.9905,121.7456,2
31.8409,121.8087,3
36.8044,122.6067,2
33.8226,123.0061,5
36.314,123.7829,3
36.3146,121.3412,4
36.2074,121.8327,2
36.5556,121.6384,1
36.4862,122.0065,3
36.5657,123.6496,1
33.2251,122.6154,3
31.1769,123.2501,2
34.2108,121.735,3
36.1747,122.6181,4
36.2081,122.9158,4
36.5848,122.9054,5
32.6544,121.6116,5
34.5439,122.2453,2
32.6348,123.76,5
34.0438,121.9138,3
36.1108,122.9918,1
33.1254,121.7695,4
33.8076,122.8955,3
32.2722,122.1139,4
35.9085,122.5618,5
31.8592,121.3417,5
33.5903,123.2283,5
32.2399,121.4434,5
35.6702,121.8949,2
32.6138,122.4719,1
35.5809,122.713,5
31.8183,122.4896,3
36.3967,121.8973,3
34.118,122.3116,1
36.6366,122.8369,4
32.164,123.3375,2
31.2096,121.5222,2
35.8398,122.0901,5
33.5915,122.1261,2
33.6798,122.2733,5
33.5981,122.1761,3
34.3972,123.3537,2
33.9072,122.2347,4
34.0672,123.1956,4
33.0254,121.9056,3
35.7393,122.5053,1
32.735,121.7683,3
31.659,122.0172,3
36.0368,123.2146,3
34.3559,121.8682,5
31.8573,121.6968,5
32.6738,121.4047,1
33.3325,122.9886,3
31.8482,122.3831,2
36.146,121.5386,1
32.8143,122.3523,2
31.1992,122.2576,1
35.2051,121.7181,2
36.8839,121.8682,3
32.6791,122.9956,5
